,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600809.SH,X600690.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X600104.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X600584.SH,X002463.SZ,X000977.SZ,X600089.SH,X000066.SZ,X600703.SH,X600372.SH,X000157.SZ,X600839.SH,X002028.SZ,X002049.SZ,X600522.SH,X002456.SZ,X002236.SZ,X600183.SH,X600741.SH,X600066.SH,X002156.SZ,X600460.SH,X601877.SH,X002085.SZ,X002129.SZ,X600487.SH,X000661.SZ,X000921.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.360149233976491,0,0,0,0.0638021688613252,0,0,0,0,0,0,0,0,0,0,0,0.136832842956714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00263984340883749,0,0,0,0,0,0,0,0,0,0,-0.132101691875801,-0.0200435796947695,0,0,-0.072167623623252,0,0
X000858.SZ,0.408558721845114,0,0,0,0,0.399016340501862,0,0,0,0,0,0,0,0,0,0.0393715177661421,0,0,0.0980739674744942,0,0,0,0.0595989872886795,-0.0186367772667109,0,0,0,0,0,0,0,0,0,0.0165231468968526,0.147859483035584,0,0,0,0,0,0,0.036028276426965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00750228723274068,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106482593325032,0.0483781231916817,0,0.31035702974568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0449213669638055,0,0,0,0,0,0,0,0.0508971314829761,0,0,0.251313972191618,0,0,0,-0.133562842114252,0,0,0,-0.0734555115397438,0,0
X002415.SZ,0,0,0.0670043667030417,0,0,0,0.014066629886654,0,0,0,0,0,-3.46944695195361e-18,0,0.105231989437708,0,0,0,0,0.0813231294056161,0.283844056450309,0,0,0,0,0,0,0,0,0.0356428686786689,0,0,0,-0.0207642766352265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176142011644935,0,0,0,0,-0.0525530177002306,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0363165384912846,0,0,0,0,0,0,0,0.076603827350944,0,0.0467603968858582,0,0.411332811103154,0,0.0651587753384289,0.0256624806204233,0,0,0,0,0,0.0373714547970952,0,0,0,0.013095302726292,0,0.0967340626628989,0,0,-0.0170956236906032,0,0,0,0,0,0,0,0,0,-0.0688997305532295,0,0,0,0,0,0
X600809.SH,0,0.0340385740427575,0,0,0,0,0,0,0,0.727881902004001,0,0,0,0,0,0.0019685290537399,0,0,0,0.141581101645659,0,0,0,0.0530470597417182,0,0,0.0710583175633202,-0.0015498375120437,0,-0.0134657405498119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0378606367204979,0,-0.00821058386428991,0,0
X600690.SH,0,0,0,0,0.167952643995903,0,0,0.0769545981661015,0,0,0,0,0,0,0,0,0,0,0,0.0669796189121798,0,0,0,0,0,0,0,0,0,-0.00732118445057754,0,0,0,0.0538535994938198,0,0,0,0,0,0.00131463777772116,0,0,0,0,0,0,0,0,0,0.2409023481652,0,0,0.0191995062853851,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0715670526460913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166052400070782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204644239479029,-0.00412956095720235,-0.000288374293845628,0,0,0,0,0,0.327366997279069,0,0,0,0,0,0,0.00217211926203005,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.395706940765467,0,0,0,0,0,0,0,0.0676588297596843,0,0,0,-0.0386552248330096,0,0,0.136981456698549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152773858200903,-1.0842021724855e-19,0,0.0330839010062206,0,0,0,0,0,0,-0.0168103459205471,0,0,0,0.0180293611398716,0,0
X000568.SZ,0,0.11810684218137,0,0,0,0.445930958872121,0,0,0,0,0,0,0,0,0,0,0,0.227592306346953,0,0.110355503013864,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158236349140036,0,0,0,0,0,0.038046586199888,0,0,0,-0.0197811403516154,0,0,0,0,0,0,0.0145304768805714,-0.0477784292184508,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,-0.0351757466545721,0,0,0,0,0,0.190924802722622,0,0,0.0086221624495139,0,0,0.467191520642891,0,-0.0851107724089334,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118932987081592,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.107003633528072,0,-0.061039354271195,0,0,0,0.245615614534194,0,0,-0.0645824082643748,0,0
