,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600809.SH,X600690.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X600104.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X600584.SH,X002463.SZ,X000977.SZ,X600089.SH,X000066.SZ,X600703.SH,X600372.SH,X000157.SZ,X600839.SH,X002028.SZ,X002049.SZ,X600522.SH,X002456.SZ,X002236.SZ,X600183.SH,X600741.SH,X600066.SH,X002156.SZ,X600460.SH,X601877.SH,X002085.SZ,X002129.SZ,X600487.SH,X000661.SZ,X000921.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.181672640700848,0,0,0,0.160859399848873,0,0,0,0,0,0,0,0,0,0,0,0.219400638289529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0160725672796219,0,0,0,0,0,-6.85406439271292e-05,0,0,0,0,0,0,0,0,0,0,0,0,-0.0634049665880771,0,0
X000858.SZ,0,0,0,0,0,0.31609003503085,0,0,0,0.0911435203652217,0,0,0,0,0,0.0293408402193648,0,0.225964250576537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106456552469017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0342706234499797,0,0,0,0,-0.0128120924315485,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.0939847403884749,0,0,0,0,0,0.0283563531498835,0,0,0.233613501641357,0.10973431368835,0,0.0574253565850273,0,0,0,0,0,0,0.0925117549570407,0,0,0,-0.0665343667070223,0.0533838087366575,0,0,0,0,0,0,0.120360799394813,0,0,0,0,0,0,0,0,0,0.0109034583902749,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.108583682548182,0.0602823520941486,0,0,0,0,0,0.09024062588943,0.0368456163547156,0.0342183429101999,0,0,0,0,0,0.128310118184206,0,0,0,0,0,0.0184146474241632,0,0,0.0202184536603957,0,0,0,0,0,0,0,0,0,0.130285602530949,0,0,0,0,0,0.0172116915848998,0,0,0,0,0,0,0,0,0,0,-0.0499076335451077,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0350876622218787,0,0,0,0,0,0,0,0.0642715686883911,0,0,0,0.398747315952692,0,0.103120105773602,0,0,-0.00608710843545,0,0,0,0.0714985317353436,0,0,0,0,0,0.131871541782617,0,0,0,0,0,0,0,0,0,0,0,-0.0632271780346713,0,0,0,0,0,0,0
X600809.SH,0,0.0821566895066889,0,0,0,0,0,0,0,0.53215397689424,0,0,0,0,0,0,0,0,0,0.252594591554384,0.0213577968876203,0,0,0,0,0,0,0,0,-0.00451680551515375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.187143958851243,0.0794253465258968,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125749574011426,0,0,0,0,0,0,0.0273141022746226,0,0,0,0.00576181222512101,0,0,0,0,-0.0364819659339163,0,0,0,0,0,0,0.170932685530824,0,0,0,0,0,0,0.00648393687675403,0,0
X000651.SZ,0,0,0,0,0,0,0.0861534732303062,0,0,0,0,0,0,0,0,0.0961798946474735,0,0,0,0,0,0,0,-0.00778561221355825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232596526057457,0,-0.0627384896200889,0,0,0,0,-0.00477062709490369,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.364139825668407,0,0,0,0,0,0,0,0.0379930924323104,0,0,0,0,0,0.0108106079728878,0.330385179411052,0,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0992035965716291,0,0,0,0,0.0679230029015673,0,0,0.097125783228266,0,0,0,0,0,0,0,0,0,0,0.00255929892540236,0,0
X000568.SZ,0,0.389493469751627,0,0,0,0.238284978109715,0,0,0,0,0,0,0,0,0,0,0,0.0158202327135413,0,0.10229519315709,0.0372850812769358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541333920795577,0,0,0,0,0,0,0,0.061023482346045,0,0,0,0,0,0,-0.0242262441181391,0,0
